Round Number,Date,Location,Home Team,Away Team,Group,Result
1,2022,Qatar,Qatar,Ecuador,Group A,
1,2022,Qatar,Senegal,Netherlands,Group A,
2,2022,Qatar,Qatar,Senegal,Group A,
2,2022,Qatar,Netherlands,Ecuador,Group A,
3,2022,Qatar,Ecuador,Senegal,Group A,
3,2022,Qatar,Netherlands,Qatar,Group A,
1,2022,Qatar,England,Iran,Group B,
1,2022,Qatar,United States,Wales,Group B,
2,2022,Qatar,Wales,Iran,Group B,
2,2022,Qatar,England,United States,Group B,
3,2022,Qatar,Wales,England,Group B,
3,2022,Qatar,Iran,United States,Group B,
1,2022,Qatar,Argentina,Saudi Arabia,Group C,
1,2022,Qatar,Mexico,Poland,Group C,
2,2022,Qatar,Poland,Saudi Arabia,Group C,
2,2022,Qatar,Argentina,Mexico,Group C,
3,2022,Qatar,Poland,Argentina,Group C,
3,2022,Qatar,Saudi Arabia,Mexico,Group C,
1,2022,Qatar,Denmark,Tunisia,Group D,
1,2022,Qatar,France,Australia,Group D,
2,2022,Qatar,Tunisia,Australia,Group D,
2,2022,Qatar,France,Denmark,Group D,
3,2022,Qatar,Australia,Denmark,Group D,
3,2022,Qatar,Tunisia,France,Group D,
1,2022,Qatar,Germany,Japan,Group E,
1,2022,Qatar,Spain,Costa Rica,Group E,
2,2022,Qatar,Japan,Costa Rica,Group E,
2,2022,Qatar,Spain,Germany,Group E,
3,2022,Qatar,Japan,Spain,Group E,
3,2022,Qatar,Costa Rica,Germany,Group E,
1,2022,Qatar,Morocco,Croatia,Group F,
1,2022,Qatar,Belgium,Canada,Group F,
2,2022,Qatar,Belgium,Morocco,Group F,
2,2022,Qatar,Croatia,Canada,Group F,
3,2022,Qatar,Croatia,Belgium,Group F,
3,2022,Qatar,Canada,Morocco,Group F,
1,2022,Qatar,Switzerland,Cameroon,Group G,
1,2022,Qatar,Brazil,Serbia,Group G,
2,2022,Qatar,Cameroon,Serbia,Group G,
2,2022,Qatar,Brazil,Switzerland,Group G,
3,2022,Qatar,Serbia,Switzerland,Group G,
3,2022,Qatar,Cameroon,Brazil,Group G,
1,2022,Qatar,Uruguay,Korea Republic,Group H,
1,2022,Qatar,Portugal,Ghana,Group H,
2,2022,Qatar,Korea Republic,Ghana,Group H,
2,2022,Qatar,Portugal,Uruguay,Group H,
3,2022,Qatar,Ghana,Uruguay,Group H,
3,2022,Qatar,Korea Republic,Portugal,Group H,
Round of 16,2022,Qatar,Winner Group A,Runner-up Group B,,
Round of 16,2022,Qatar,Winner Group C,Runner-up Group D,,
Round of 16,2022,Qatar,Winner Group B,Runner-up Group A,,
Round of 16,2022,Qatar,Winner Group D,Runner-up Group C,,
Round of 16,2022,Qatar,Winner Group E,Runner-up Group F,,
Round of 16,2022,Qatar,Winner Group G,Runner-up Group H,,
Round of 16,2022,Qatar,Winner Group F,Runner-up Group E,,
Round of 16,2022,Qatar,Winner Group H,Runner-up Group G,,
Quarter Finals,2022,Qatar,To be announced,To be announced,,
Quarter Finals,2022,Qatar,To be announced,To be announced,,
Quarter Finals,2022,Qatar,To be announced,To be announced,,
Quarter Finals,2022,Qatar,To be announced,To be announced,,
Semi Finals,2022,Qatar,To be announced,To be announced,,
Semi Finals,2022,Qatar,To be announced,To be announced,,
Finals,2022,Qatar,To be announced,To be announced,,
Finals,2022,Qatar,To be announced,To be announced,,
